name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	3	att	0	60	60						0	0	0	str	0	6	6		0	0	0		0	0	0	ac	0	16	16		0	0	0		0	0	0
Flawed Amethyst		18	gfv	3	att	0	80	80						0	0	0	str	0	8	8		0	0	0		0	0	0	ac	0	24	24		0	0	0		0	0	0
Amethyst		18	gsv	3	att	0	100	100						0	0	0	str	0	12	12		0	0	0		0	0	0	ac	0	36	36		0	0	0		0	0	0
Flawless Amethyst		18	gzv	3	att	0	150	150						0	0	0	str	0	16	16		0	0	0		0	0	0	ac	0	48	48		0	0	0		0	0	0
Perfect Amethyst		17	gpv	3	att	0	250	250						0	0	0	str	0	20	20		0	0	0		0	0	0	ac	0	60	60		0	0	0		0	0	0
Chipped Saphire		5	gcb	3	cold-min	0	3	3	cold-max	0	6	6	cold-len	0	25	25	mana	0	20	20		0	0	0		0	0	0	res-cold	0	16	16		0	0	0		0	0	0
Flawed Saphire		5	gfb	3	cold-min	0	6	6	cold-max	0	10	10	cold-len	0	35	35	mana	0	34	34		0	0	0		0	0	0	res-cold	0	20	20		0	0	0		0	0	0
Saphire		5	gsb	3	cold-min	0	8	8	cold-max	0	14	14	cold-len	0	50	50	mana	0	48	48		0	0	0		0	0	0	res-cold	0	30	30		0	0	0		0	0	0
Flwless Saphire		5	glb	3	cold-min	0	12	12	cold-max	0	20	20	cold-len	0	60	60	mana	0	62	62		0	0	0		0	0	0	res-cold	0	40	40		0	0	0		0	0	0
Perfect Saphire		6	gpb	3	cold-min	0	20	20	cold-max	0	28	28	cold-len	0	75	75	mana	0	76	76		0	0	0		0	0	0	res-cold	0	56	56		0	0	0		0	0	0
Chipped Emerald		11	gcg	3	pois-min	0	50	50	pois-max	0	50	50	pois-len	0	75	75	dex	0	6	6		0	0	0		0	0	0	res-pois	0	16	16		0	0	0		0	0	0
