name	code
amu 	amu
rin 	rin
cm1	cm1
cm2	cm2
cm3	cm3
hax 	hax
axe 	axe
2ax 	2ax
mpi 	mpi
wax 	wax
lax 	lax
bax 	bax
btx 	btx
gax 	gax
gix 	gix
clb 	clb
spc 	spc
mac 	mac
mst 	mst
fla 	fla
whm 	whm
mau 	mau
gma 	gma
ssd 	ssd
scm 	scm
sbr 	sbr
flc 	flc
crs 	crs
bsd 	bsd
lsd 	lsd
wsd 	wsd
2hs 	2hs
clm 	clm
gis 	gis
bsw 	bsw
flb 	flb
gsd 	gsd
dgr 	dgr
dir 	dir
kri 	kri
bld 	bld
spr 	spr
tri 	tri
brn 	brn
spt 	spt
pik 	pik
bar 	bar
vou 	vou
scy 	scy
pax 	pax
hal 	hal
wsc 	wsc
sbw 	sbw
hbw 	hbw
lbw 	lbw
cbw 	cbw
sbb 	sbb
lbb 	lbb
swb 	swb
lwb 	lwb
lxb 	lxb
mxb 	mxb
hxb 	hxb
rxb 	rxb
cap 	cap
skp 	skp
hlm 	hlm
fhl 	fhl
ghm 	ghm
crn 	crn
msk 	msk
qui 	qui
lea 	lea
hla 	hla
stu 	stu
rng 	rng
scl 	scl
chn 	chn
brs 	brs
spl 	spl
plt 	plt
fld 	fld
gth 	gth
ful 	ful
aar 	aar
ltp 	ltp
buc 	buc
sml 	sml
lrg 	lrg
kit 	kit
tow 	tow
gts 	gts
lgl 	lgl
vgl 	vgl
mgl 	mgl
tgl 	tgl
hgl 	hgl
lbt 	lbt
vbt 	vbt
mbt 	mbt
tbt 	tbt
hbt 	hbt
lbl 	lbl
vbl 	vbl
mbl 	mbl
tbl 	tbl
hbl 	hbl
bhm 	bhm
bsh 	bsh
spk 	spk
Expansion	
tkf 	tkf
tax 	tax
bkf 	bkf
bal 	bal
jav 	jav
pil 	pil
ssp 	ssp
glv 	glv
tsp 	tsp
ktr 	ktr
wrb 	wrb
axf 	axf
ces 	ces
clw 	clw
btl 	btl
skr 	skr
ci0 	ci0
ci1 	ci1
