code	*codeIndex	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
ac	pr0	1			1	armorclass																													none	0
ac-miss	pr1	1			1	armorclass_vs_missile																													none	0
ac-hth	pr2	1			1	armorclass_vs_hth																													none	0
red-dmg	pr3	1			1	normal_damage_reduction																													none	0
red-dmg%	pr4	1			1	damageresist																													none	0
ac%	pr5	1			2	item_armor_percent																													none	0
red-mag	pr6	1			1	magic_damage_reduction																													none	0
str	pr7	1			1	strength																													none	0
dex	pr8	1			1	dexterity																													none	0
vit	pr9	1			1	vitality																													none	0
enr	pr10	1			1	energy																													none	0
mana	pr11	1			1	maxmana																													none	0
mana%	pr12	1			1	item_maxmana_percent																													none	0
hp	pr13	1			1	maxhp																													none	0
hp%	pr14	1			1	item_maxhp_percent																													none	0
att	pr15	1			1	tohit																													none	0
block	pr16	1			1	toblock																													none	0
cold-min	pr17	1			1	coldmindam																													none	0
cold-max	pr18	1			1	coldmaxdam																													none	0
cold-len	pr19	1			1	coldlength																													none	0
fire-min	pr20	1			1	firemindam																													none	0
fire-max	pr21	1			1	firemaxdam																													none	0
ltng-min	pr22	1			1	lightmindam																													none	0
ltng-max	pr23	1			1	lightmaxdam																													none	0
pois-min	pr24	1			1	poisonmindam																													none	0
pois-max	pr25	1			1	poisonmaxdam																													none	0
pois-len	pr26	1			1	poisonlength																													none	0
dmg-min	pr27	1			5																														none	0
dmg-max	pr28	1			6																														none	0
dmg%	pr29	1			7																														none	0
dmg-to-mana	pr30	1			1	item_damagetomana																													none	0
res-fire	pr31	1			1	fireresist																													none	0
res-fire-max	pr32	1			1	maxfireresist																													none	0
res-ltng	pr33	1			1	lightresist																													none	0
res-ltng-max	pr34	1			1	maxlightresist																													none	0
res-cold	pr35	1			1	coldresist																													none	0
res-cold-max	pr36	1			1	maxcoldresist																													none	0
res-mag	pr37	1			1	magicresist																													none	0
res-mag-max	pr38	1			1	maxmagicresist																													none	0
res-pois	pr39	1			1	poisonresist																													none	0
res-pois-max	pr40	1			1	maxpoisonresist																													none	0
res-all	pr41	1			1	fireresist			3	lightresist			3	coldresist			3	poisonresist																	none	0
res-all-max	pr42	1			1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist																	none	0
abs-fire%	pr43	1			1	item_absorbfire_percent																													none	0
abs-fire	pr44	1			1	item_absorbfire																													none	0
abs-ltng%	pr45	1			1	item_absorblight_percent																													none	0
abs-ltng	pr46	1			1	item_absorblight																													none	0
abs-mag%	pr47	1			1	item_absorbmagic_percent																													none	0
abs-mag	pr48	1			1	item_absorbmagic																													none	0
abs-cold%	pr49	1			1	item_absorbcold_percent																													none	0
abs-cold	pr50	1			1	item_absorbcold																													none	0
dur	pr51	1			1	maxdurability																													none	0
dur%	pr52	1			13	item_maxdurability_percent																													none	0
regen	pr53	1			1	hpregen																													none	0
thorns	pr54	1			1	item_attackertakesdamage																													none	0
swing1	pr55	1			8	item_fasterattackrate																													none	0
swing2	pr56	1			8	item_fasterattackrate																													none	0
swing3	pr57	1			8	item_fasterattackrate																													none	0
gold%	pr58	1			1	item_goldbonus																													none	0
mag%	pr59	1			1	item_magicbonus																													none	0
knock	pr60	1			1	item_knockback																													none	0
regen-stam	pr61	1			1	staminarecoverybonus																													none	0
regen-mana	pr62	1			1	manarecoverybonus																													none	0
stam	pr63	1			1	maxstamina																													none	0
time	pr64	1			1	item_timeduration																													none	0
manasteal	pr65	1			1	manadrainmindam																													none	0
lifesteal	pr66	1			1	lifedrainmindam																													none	0
ama	pr67	1		0	21	item_addclassskills																													none	0
pal	pr68	1		3	21	item_addclassskills																													none	0
nec	pr69	1		2	21	item_addclassskills																													none	0
sor	pr70	1		1	21	item_addclassskills																													none	0
bar	pr71	1		4	21	item_addclassskills																													none	0
herb	pr72	1			1	item_doubleherbduration																													none	0
light	pr73	1			1	item_lightradius																													none	0
color	pr74	1	1		1	item_lightcolor																													none	0
ease	pr75	1			1	item_req_percent																													none	0
move1	pr76	1			8	item_fastermovevelocity																													none	0
move2	pr77	1			8	item_fastermovevelocity																													none	0
move3	pr78	1			8	item_fastermovevelocity																													none	0
balance1	pr79	1			8	item_fastergethitrate																													none	0
balance2	pr80	1			8	item_fastergethitrate																													none	0
balance3	pr81	1			8	item_fastergethitrate																													none	0
block1	pr82	1			8	item_fasterblockrate																													none	0
block2	pr83	1			8	item_fasterblockrate																													none	0
block3	pr84	1			8	item_fasterblockrate																													none	0
cast1	pr85	1			8	item_fastercastrate																													none	0
cast2	pr86	1			8	item_fastercastrate																													none	0
cast3	pr87	1			8	item_fastercastrate																													none	0
res-pois-len	pr88	1			1	item_poisonlengthresist																													none	0
dmg	pr89	1			1	item_normaldamage																													none	0
howl	pr90	1			1	item_howl																													none	0
stupidity	pr91	1			1	item_stupidity																													none	0
ignore-ac	pr92	1			1	item_ignoretargetac																													none	0
reduce-ac	pr93	1			1	item_fractionaltargetac																													none	0
noheal	pr94	1			1	item_preventheal																													none	0
half-freeze	pr95	1			1	item_halffreezeduration																													none	0
att%	pr96	1			1	item_tohit_percent																													none	0
dmg-ac	pr97	1			1	item_damagetargetac																													none	0
dmg-demon	pr98	1			1	item_demondamage_percent																													none	0
dmg-undead	pr99	1			1	item_undeaddamage_percent																													none	0
att-demon	pr100	1			1	item_demon_tohit																													none	0
att-undead	pr101	1			1	item_undead_tohit																													none	0
throw	pr102	1			1	item_throwable																													none	0
fireskill	pr103	1		1	21	item_elemskill																													none	0
allskills	pr104	1			1	item_allskills																													none	0
light-thorns	pr105	1			1	item_attackertakeslightdamage																													none	0
freeze	pr106	1			1	item_freeze																										chance in 128	length in frames		none	0
openwounds	pr107	1			1	item_openwounds																													none	0
crush	pr108	1			1	item_crushingblow																													none	0
kick	pr109	1			1	item_kickdamage																													none	0
mana-kill	pr110	1			1	item_manaafterkill																													none	0
demon-heal	pr111	1			1	item_healafterdemonkill																													none	0
bloody	pr112	1			1	item_extrablood																													none	0
deadly	pr113	1			1	item_deadlystrike																													none	0
slow	pr114	1			1	item_slow																													none	0
nofreeze	pr115	1			1	item_cannotbefrozen																													none	0
stamdrain	pr116	1			1	item_staminadrainpct																													none	0
reanimate	pr117	1			24	item_reanimate																													none	0
pierce	pr118	1			1	item_pierce																													none	0
magicarrow	pr119	1			1	item_magicarrow																													none	0
explosivearrow	pr120	1			1	item_explosivearrow																													none	0
Expansion	Expansion																																			
dru	pr121	1		5	21	item_addclassskills																									All Druid Skills				none	0
ass	pr122	1		6	21	item_addclassskills																									All Assassin Skills				none	0
skill	pr123	1			22	item_singleskill																													none	0
skilltab	pr124	1			10	item_addskill_tab																													none	0
aura	pr125	1			22	item_aura																													none	0
att-skill	pr126	1			11	item_skillonattack																									Proc Skill on Swing	Skill #	% Chance	Level	none	0
hit-skill	pr127	1			11	item_skillonhit																									Proc Skill on Hit	Skill #	% Chance	Level	none	0
gethit-skill	pr128	1			11	item_skillongethit																									Proc Skill on Get Hit	Skill #	% Chance	Level	none	0
gembonus	pr129																														Increase chance of finding Gems				none	0
regen-dur	pr130																																		none	0
fire-fx	pr131																																		none	0
ltng-fx	pr132																																		none	0
sock	pr133	1			14	item_numsockets																													none	0
dmg-fire	pr134	1			15	firemindam			16	firemaxdam																					Fire Damage		Min	Max	none	0
