Stat	*StatCodeName	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is0	strength	0	1		11			1		10			1	1			41	1024		7	32	7	32																	67	1	1	ModStr1a	ModStr1a		1	1	1	Moditem2allattrib	Moditem2allattrib		6	0
is1	energy	1			11			1		10			1	1			41	1024		7	32	7	32			8			is9											61	1	1	ModStr1d	ModStr1d		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is2	dexterity	2	1		11			1		10			1	1			41	1024		7	32	7	32																	65	1	1	ModStr1b	ModStr1b		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is3	vitality	3			11			1		10			1	1			41	1024		7	32	7	32			9			is7	is11										63	1	1	ModStr1c	ModStr1c		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is4	statpts	4			9			1		10								1024																																			0
is5	newskills	5			9			1		8								1024																																			0
is6	hitpoints	6			32			1		21								1024	8													1	is7																				0
is7	maxhp	7			32			1		21		1	1	1			20	1024	8	8	32	9	32																	59	1	1	ModStr1u	ModStr1u									0
is8	mana	8			32			1		21								1024	8						1							1	is9																				0
is9	maxmana	9			32			1		21		1	1				20	1024	8	8	32	8	32																	55	1	1	ModStr1e	ModStr1e									0
is10	stamina	10			32			1		21								1024	8						1							1	is11																				0
is11	maxstamina	11			32			1		21		1	1					1024	8	8	32	8	32																	51	1	1	ModStr5d	ModStr5d									0
is12	level	12			9			1		7								1024																																			0
is13	experience	13			32			1		32								1024																																			0
is14	gold	14			32			1		25								1024																																			0
is15	goldbank	15			32			1		25								1024																																			0
is16	item_armor_percent	16		1	11													1024		9		9				13			is31											74	4	1	Modstr2v	Modstr2v									0
is17	item_maxdamage_percent	17		1	11													1024		9		9				13			is22	is24	is160				1					129	3		ModStr2j	ModStr2j									0
is18	item_mindamage_percent	18		1	11													1024		9		9				13			is21	is23	is159				1					130	3		ModStr2k	ModStr2k									0
is19	tohit	19		1	16													1024		10		10													1					115	1	1	ModStr1h	ModStr1h									0
is20	toblock	20		1	10											50		1024		6		6																		134	2	1	ModStr3g	ModStr3g									0
is21	mindamage	21		1	16											10		1024		6		7													1					127	1	1	ModStr1g	ModStr1g									0
is22	maxdamage	22		1	16											8		1024		7		7													1					126	1	1	ModStr1f	ModStr1f									0
is23	secondary_mindamage	23		1	16											10		1024		6		7													1					124	1	1	ModStr1g	ModStr1g									0
is24	secondary_maxdamage	24		1	16											8		1024		7		7													1					123	1	1	ModStr1f	ModStr1f									0
is25	damagepercent	25		1	12											20		1024		8		9													1																		0
is26	manarecovery	26																1024		8		8																															0
is27	manarecoverybonus	27		1	16													1024		8		8																		52	2	2	ModStr4g	ModStr4g									0
is28	staminarecoverybonus	28		1	16													1024		8		8																		48	2	2	ModStr3v	ModStr3v									0
is29	lastexp	29			32													1024																																			0
is30	nextexp	30			32													1024																																			0
is31	armorclass	31		1	16													1024		10	10	10	10																	71	1	1	ModStr1i	ModStr1i									0
is32	armorclass_vs_missile	32		1	16													1024		8		8																		69	1	1	ModStr6a	ModStr6a									0
is33	armorclass_vs_hth	33		1	16													1024		8		8																		70	1	1	ModStr6b	ModStr6b									0
is34	normal_damage_reduction	34		1	10													1024		6		8																		22	3	2	ModStr2u	ModStr2u									0
is35	magic_damage_reduction	35		1	10													1024		6		8																		21	3	2	ModStr2t	ModStr2t									0
is36	damageresist	36		1	9												20	1024		8		8																		22	2	2	ModStr2u	ModStr2u									0
is37	magicresist	37		1	9												20	1024		8		8																		41	4	2	ModStr1m	ModStr1m									0
is38	maxmagicresist	38		1	9													1024		5		5																		46	4	1	ModStr5x	ModStr5x									0
is39	fireresist	39		1	9												20	1024		8		8	50																	36	4	2	ModStr1j	ModStr1j		2	19		strModAllResistances	strModAllResistances			0
is40	maxfireresist	40		1	9												20	1024		5		5																		42	4	1	ModStr5u	ModStr5u									0
is41	lightresist	41		1	9												20	1024		8		8	50																	38	4	2	ModStr1l	ModStr1l		2	19		strModAllResistances	strModAllResistances			0
is42	maxlightresist	42		1	9												20	1024		5		5																		43	4	1	ModStr5w	ModStr5w									0
is43	coldresist	43		1	9												20	1024		8		8	50																	40	4	2	ModStr1k	ModStr1k		2	19		strModAllResistances	strModAllResistances			0
is44	maxcoldresist	44		1	9												20	1024		5		5																		44	4	1	ModStr5v	ModStr5v									0
is45	poisonresist	45		1	9												20	1024		8		8	50																	34	4	2	ModStr1n	ModStr1n		2	19		strModAllResistances	strModAllResistances			0
is46	maxpoisonresist	46		1	9												20	1024		5		5																		45	4	1	ModStr5y	ModStr5y									0
is47	damageaura	47		1	16													1024																																			0
is48	firemindam	48		1	16											10		1024		8		9													1					102	1	1	ModStr1p	ModStr1p									0
is49	firemaxdam	49		1	16											10		1024		8		10													1					101	1	1	ModStr1o	ModStr1o									0
is50	lightmindam	50		1	16											10		1024		6		7													1					99	1	1	ModStr1r	ModStr1r									0
is51	lightmaxdam	51		1	16											10		1024		9		11													1					98	1	1	ModStr1q	ModStr1q									0
is52	magicmindam	52		1	16											10		1024		6		9													1					104	1	1	strModMagicDamage	strModMagicDamage									0
is53	magicmaxdam	53		1	16											10		1024		7		10													1					103	1	1	strModMagicDamage	strModMagicDamage									0
is54	coldmindam	54		1	16											10		1024		6		9													1					96	1	1	ModStr1t	ModStr1t									0
is55	coldmaxdam	55		1	16											10		1024		8		10													1					95	1	1	ModStr1s	ModStr1s									0
is56	coldlength	56		1	16											10		1024		8		9													1																		0
is57	poisonmindam	57		1	19											10		1024		9		11													1					92	1	1	ModStr4i	ModStr4i									0
is58	poisonmaxdam	58		1	19											10		1024		9		11													1					91	1	1	ModStr4h	ModStr4h									0
is59	poisonlength	59		1	16											10		1024		8		10													1																		0
is60	lifedrainmindam	60		1	16												51	1024		7		7																		88	2	1	ModStr2z	ModStr2z									0
is61	lifedrainmaxdam	61		1	16												51	1024																	1																		0
is62	manadrainmindam	62		1	16												51	1024		7		7													1					89	2	1	ModStr2y	ModStr2y									0
is63	manadrainmaxdam	63		1	16												51	1024																	1																		0
is64	stamdrainmindam	64		1	16													1024																	1																		0
is65	stamdrainmaxdam	65		1	16													1024																	1																		0
is66	stunlength	66			16													1024																	1																		0
is67	velocitypercent	67	1	1	10		1											1024		7	30	7	30																														0
is68	attackrate	68	1	1	10		1											1024		7	30	8	30												1																		0
is69	other_animrate	69	1	1	10		1											1024																																			0
is70	quantity	70		1	16													1024																1	1																		0
is71	value	71		1	9													1024		8	100	8	100											1																			0
is72	durability	72		1	9													1024		8		8										1	is73	1																			0
is73	maxdurability	73		1	9											40	4	1024		8		8												1																			0
is74	hpregen	74																1024		6	30	7	30																	56	1	2	ModStr2l	ModStr2w									0
is75	item_maxdurability_percent	75		1	7													1024		7	20	7	20			13			is73											3	2	2	ModStr2i	ModStr2i									0
is76	item_maxhp_percent	76		1	16											20	40	1024		6	10	6	10			11			is7											58	2	2	ModStr2g	ModStr2g									0
is77	item_maxmana_percent	77		1	16											15	40	1024		6	10	6	10			11			is9											54	2	2	ModStr2h	ModStr2h									0
is78	item_attackertakesdamage	78		1	16							1				8		1024		7		10														ev1	6			13	3	2	ModStr1v	ModStr1v									0
is79	item_goldbonus	79		1	10												1	1024	1	9	100	9	100																	10	2	1	ModStr1w	ModStr1w									0
is80	item_magicbonus	80		1	9											30	2	1024		8	100	10	100																	8	2	1	ModStr1x	ModStr1x									0
is81	item_knockback	81		1	8							1						1024		7		7													1	ev5	7	ev6	7	76	3		ModStr1y	ModStr1y									0
is82	item_timeduration	82		1	10													1024		9	20	9	20																														0
is83	item_addclassskills	83		1	4	3						1				100		1024		3		3		3																150	13	1	ModStr3a	ModStr3a									0
is84	unsentparam1	84																1024		3																																	0
is85	item_addexperience	85		1	9													1024		3		8	50																	11	4	1	Moditem2ExpG	Moditem2ExpG									0
is86	item_healafterkill	86		1	7							1						1024		3		6														ev9	28			16	1	1	ModitemHPaK	ModitemHPaK									0
is87	item_reducedprices	87			8													1024		3		6																		8	2	2	ModitemRedVendP	ModitemRedVendP									0
is88	item_doubleherbduration	88		1	2													1024		1		1																															0
is89	item_lightradius	89		1	5							1						1024		4	4	4	4																	6	1	1	ModStr3f	ModStr3f									0
is90	item_lightcolor	90		1	24							1						1024		5		25																															0
is91	item_req_percent	91		1	8											26	-34	1024		8	100	8	100																		4	2	ModStr3h	ModStr3h									0
is92	item_levelreq	92																1024		6	20	6																															0
is93	item_fasterattackrate	93	1	1	9											30	20	1024		7	20	8	20												1					145	4	1	ModStr4m	ModStr4m									0
is94	item_levelreqpct	94																1024		7	20	7	64			13			is92																								0
is95	lastblockframe	95																1024		6	20																																0
