code	*codename	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
pr0	ac	1			1	is31																													none	0
pr1	ac-miss	1			1	is32																													none	0
pr2	ac-hth	1			1	is33																													none	0
pr3	red-dmg	1			1	is34																													none	0
pr4	red-dmg%	1			1	is36																													none	0
pr5	ac%	1			2	is16																													none	0
pr6	red-mag	1			1	is35																													none	0
pr7	str	1			1	is0																													none	0
pr8	dex	1			1	is2																													none	0
pr9	vit	1			1	is3																													none	0
pr10	enr	1			1	is1																													none	0
pr11	mana	1			1	is9																													none	0
pr12	mana%	1			1	is77																													none	0
pr13	hp	1			1	is7																													none	0
pr14	hp%	1			1	is76																													none	0
pr15	att	1			1	is19																													none	0
pr16	block	1			1	is20																													none	0
pr17	cold-min	1			1	is54																													none	0
pr18	cold-max	1			1	is55																													none	0
pr19	cold-len	1			1	is56																													none	0
pr20	fire-min	1			1	is48																													none	0
pr21	fire-max	1			1	is49																													none	0
pr22	ltng-min	1			1	is50																													none	0
pr23	ltng-max	1			1	is51																													none	0
pr24	pois-min	1			1	is57																													none	0
pr25	pois-max	1			1	is58																													none	0
pr26	pois-len	1			1	is59																													none	0
pr27	dmg-min	1			5																														none	0
pr28	dmg-max	1			6																														none	0
pr29	dmg%	1			7																														none	0
pr30	dmg-to-mana	1			1	is114																													none	0
pr31	res-fire	1			1	is39																													none	0
pr32	res-fire-max	1			1	is40																													none	0
pr33	res-ltng	1			1	is41																													none	0
pr34	res-ltng-max	1			1	is42																													none	0
pr35	res-cold	1			1	is43																													none	0
pr36	res-cold-max	1			1	is44																													none	0
pr37	res-mag	1			1	is37																													none	0
pr38	res-mag-max	1			1	is38																													none	0
pr39	res-pois	1			1	is45																													none	0
pr40	res-pois-max	1			1	is46																													none	0
pr41	res-all	1			1	is39			3	is41			3	is43			3	is45																	none	0
pr42	res-all-max	1			1	is40			3	is42			3	is44			3	is46																	none	0
